date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:30	89/89	---MC-	200	added ('OK')	text/plain	date:Mon,%2012%20Jul%202021%2018:10:27%20GMT	http://anpsthemes.com/robots.txt		(from )
23:40:33	98345/98345	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2018:10:27%20GMT	http://anpsthemes.com/psychiatrist/demo-2/	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/index.html	(from )
23:40:33	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2012%20Jul%202021%2018:10:31%20GMT	http://anpsthemes.com/psychiatrist/demo-2/xmlrpc.php	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/xmlrpc.php	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:34	1449/1449	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Mar%202016%2009:30:26%20GMT	http://anpsthemes.com/psychiatrist/demo-1/wp-content/uploads/2016/02/favicon.png	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-1/wp-content/uploads/2016/02/favicon.png	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:34	5771/5771	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2012:45:50%20GMT	http://anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/anps-color-picker/css/color-picker.css?ver=4.9.18	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/anps-color-picker/css/color-picker76d7.css	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:35	6792/6792	---MC-	200	added ('OK')	application/rss+xml	etag:%22479f4d18feb5e08100cf9fc3c6e734c5%22	http://anpsthemes.com/psychiatrist/demo-2/feed/	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/feed/index.html	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:35	1606/1606	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202018%2008:35:03%20GMT	http://anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/contact-form-7/includes/css/styles20fd.css	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:35	1251/1251	---MC-	200	added ('OK')	application/rss+xml	etag:%220290a99d645208d4d54aafc8b3a7ba98%22	http://anpsthemes.com/psychiatrist/demo-2/comments/feed/	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/comments/feed/index.html	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:36	39755/39755	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Jan%202018%2009:27:48%20GMT	http://anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.4	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/revslider/public/assets/css/settings9d07.css	(from http://anpsthemes.com/psychiatrist/demo-2/)
23:40:36	30923/30923	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2008:46:01%20GMT	http://anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.4.5	E:/Projects/santulan-template/sanutlan/anpsthemes.com/psychiatrist/demo-2/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min5243.css	(from http://anpsthemes.com/psychiatrist/demo-2/)
